MIA2019,Opponent/G,240.6,38.3,86.8,0.441,11.9,33.1,0.358,26.4,53.6,0.493,17.5,22.7,0.769,10.1,34.0,44.2,23.3,7.5,4.7,14.1,20.1,105.9,MIA,2019
ATL2016,Opponent/G,241.8,37.1,86.1,0.432,8.3,24.5,0.338,28.9,61.6,0.469,16.7,22.1,0.755,11.5,35.0,46.5,22.0,8.6,5.0,16.1,18.3,99.2,ATL,2016
ATL2017,Opponent/G,242.4,38.8,87.3,0.444,10.9,30.5,0.357,27.9,56.7,0.491,15.6,20.2,0.772,10.7,33.2,43.9,23.4,9.0,5.2,15.4,21.6,104.0,ATL,2017
ATL2018,Opponent/G,240.3,40.7,86.7,0.469,11.6,30.7,0.377,29.1,56.0,0.52,15.9,20.6,0.772,10.3,34.0,44.2,26.1,8.7,5.5,15.1,20.3,108.8,ATL,2018
ATL2019,Opponent/G,242.1,42.8,90.5,0.473,12.4,34.4,0.359,30.4,56.1,0.543,21.5,28.3,0.758,10.6,35.4,46.0,26.9,9.9,5.5,15.0,22.2,119.4,ATL,2019
CHO2016,Opponent/G,242.1,37.8,85.0,0.444,8.9,25.4,0.349,28.9,59.6,0.485,16.3,21.2,0.769,8.9,35.8,44.7,23.2,6.7,5.5,13.5,20.4,100.7,CHO,2016
CHO2017,Opponent/G,241.8,39.5,86.5,0.456,11.6,31.4,0.369,27.9,55.1,0.506,14.2,18.2,0.776,8.9,35.5,44.4,24.5,6.6,5.5,13.1,19.9,104.7,CHO,2017
CHO2018,Opponent/G,241.2,41.1,87.8,0.468,11.3,30.1,0.375,29.8,57.7,0.516,14.5,18.2,0.795,8.4,35.3,43.7,24.7,6.6,4.9,13.6,22.4,108.0,CHO,2018
CHO2019,Opponent/G,241.8,41.9,89.2,0.47,12.1,33.5,0.361,29.8,55.6,0.536,15.9,20.2,0.787,10.1,35.7,45.8,26.0,6.9,6.0,13.5,20.6,111.8,CHO,2019
WAS2016,Opponent/G,240.9,38.7,83.8,0.462,9.0,24.2,0.371,29.7,59.5,0.498,18.3,23.7,0.769,9.4,34.9,44.3,22.5,8.1,4.3,16.2,20.1,104.6,WAS,2016
WAS2017,Opponent/G,242.1,39.7,85.1,0.466,9.9,27.1,0.364,29.8,58.0,0.514,18.2,24.2,0.751,10.6,32.5,43.0,22.8,7.4,4.6,15.3,19.8,107.4,WAS,2017
WAS2018,Opponent/G,242.1,39.0,84.4,0.462,10.2,29.2,0.349,28.8,55.2,0.522,17.9,23.5,0.761,9.8,32.7,42.5,22.3,7.8,4.7,14.9,20.0,106.0,WAS,2018
WAS2019,Opponent/G,243.0,43.4,90.5,0.48,12.1,32.8,0.37,31.3,57.7,0.542,18.0,23.1,0.778,11.4,35.8,47.3,26.2,7.7,4.6,15.8,21.2,116.9,WAS,2019
ORL2016,Opponent/G,242.7,38.4,83.5,0.46,8.9,24.9,0.359,29.5,58.6,0.503,17.9,24.0,0.746,10.1,34.1,44.3,23.2,7.6,5.5,15.1,18.3,103.7,ORL,2016
ORL2017,Opponent/G,241.5,40.3,86.4,0.467,9.7,26.4,0.367,30.6,60.0,0.51,17.4,22.7,0.766,9.7,35.8,45.5,23.6,7.6,5.1,13.0,18.7,107.6,ORL,2017
ORL2018,Opponent/G,240.6,40.9,87.5,0.468,10.0,27.6,0.362,30.9,60.0,0.516,16.4,21.2,0.773,10.6,35.3,45.9,24.4,7.8,4.9,14.2,19.0,108.2,ORL,2018
ORL2019,Opponent/G,241.2,39.9,87.6,0.456,10.5,30.2,0.347,29.5,57.4,0.513,16.3,20.9,0.778,9.0,35.6,44.6,23.1,7.0,4.4,13.0,18.7,106.6,ORL,2019
